"","address","latitude","longitude"
"1","1600+Rivers+Bend,+Wauwatosa,+WI+53226",43.0510207,-88.0553443
"2","6516+W+National+Ave,+Milwaukee,+WI+53214",43.0152802,-87.9938339
"3","2200+S+Clubhouse+Dr,+New+Berlin,+WI+53151",43.0044888,-88.1065599
"4","7620+N+81st+St,+Milwaukee,+WI+53223",43.1564377,-88.0107668
"5","3053+NW+182nd+St,+Edmond,+OK+73012",35.6574452,-97.5730337
"6","790+Lakeview+Dr,+Brookfield,+WI+53045",43.0401986,-88.139547
"7","1200+N+62nd+St,+Wauwatosa,+WI+53213",43.0463173,-87.9898628
"8","1930+Norhardt+Dr,+Brookfield,+WI+53045",43.0561409,-88.1288337
"9","3909+N+Murray+Ave,+Shorewood,+WI+53211",43.0878854,-87.8853906
